# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.initialize.library.bridges.after.loading.ms,1777024965382000000,1777025025410000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777024965382000000,1777025025410000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777024965382000000,1777025025410000000,0
workspaceModel.save.cache.to.file.ms,1777024965382000000,1777025025410000000,0
jps.global.handle.changed.events.ms,1777024965382000000,1777025025410000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777024965382000000,1777025025410000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777024965382000000,1777025025410000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1777024965382000000,1777025025410000000,1
jps.global.get.library.by.name.ms,1777024965382000000,1777025025410000000,0
workspaceModel.do.save.caches.ms,1777024965382000000,1777025025410000000,0
workspaceModel.global.updates.ms,1777024965382000000,1777025025410000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777024965382000000,1777025025410000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777024965382000000,1777025025410000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777024965382000000,1777025025410000000,0
NonBlockingReadAction.failedExecutionTimeUs,1777024965382000000,1777025025410000000,0
NonBlockingReadAction.failedExecutionsCount,1777024965382000000,1777025025410000000,0
AWTEventQueue.dispatchTime90PNs,1777024965382000000,1777025025410000000,0
FlushQueue.tasksExecuted,1777024965382000000,1777025025410000000,0
FlushQueue.waitingTimeAvgNs,1777024965382000000,1777025025410000000,0.0
FlushQueue.executionTimeMaxNs,1777024965382000000,1777025025410000000,0
FlushQueue.executionTimeAvgNs,1777024965382000000,1777025025410000000,0.0
FlushQueue.queueSize90P,1777024965382000000,1777025025410000000,0
WriteAction.executionsCount,1777024965382000000,1777025025410000000,40
FlushQueue.waitingTime90PNs,1777024965382000000,1777025025410000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1777024965382000000,1777025025410000000,68645
ReadAction.executionsCount,1777024965382000000,1777025025410000000,5392
AWTEventQueue.eventsDispatched,1777024965382000000,1777025025410000000,0
AWTEventQueue.dispatchTimeMaxNs,1777024965382000000,1777025025410000000,0
FlushQueue.queueSizeMax,1777024965382000000,1777025025410000000,0
NonBlockingReadAction.finalizedExecutionsCount,1777024965382000000,1777025025410000000,4
AWTEventQueue.dispatchTimeTotalNS,1777024965382000000,1777025025410000000,1305718913
AWTEventQueue.dispatchTimeAvgNs,1777024965382000000,1777025025410000000,0.0
FlushQueue.queueSizeAvg,1777024965382000000,1777025025410000000,0.0
FlushQueue.waitingTimeMaxNs,1777024965382000000,1777025025410000000,0
FlushQueue.executionTime90PNs,1777024965382000000,1777025025410000000,0
cacheStateStorage.set.duration,1777024965382000000,1777025025410000000,0
cacheStateStorage.get.counter,1777024965382000000,1777025025410000000,4
cacheStateStorage.get.duration,1777024965382000000,1777025025410000000,0
cacheStateStorage.set.counter,1777024965382000000,1777025025410000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1777024965382000000,1777025025410000000,3
workspaceModel.on.changed.ms,1777024965382000000,1777025025410000000,0
workspaceModel.pre.handlers.ms,1777024965382000000,1777025025410000000,0
workspaceModel.on.before.changed.ms,1777024965382000000,1777025025410000000,0
workspaceModel.initializing.ms,1777024965382000000,1777025025410000000,0
workspaceModel.updates.count,1777024965382000000,1777025025410000000,0
workspaceModel.loading.total.ms,1777024965382000000,1777025025410000000,101
workspaceModel.cachedValue.from.cache.count,1777024965382000000,1777025025410000000,1
workspaceModel.full.replace.project.model.ms,1777024965382000000,1777025025410000000,0
workspaceModel.cachedValueWithParameters.clear.count,1777024965382000000,1777025025410000000,0
workspaceModel.update.unloaded.entities.ms,1777024965382000000,1777025025410000000,0
workspaceModel.updates.ms,1777024965382000000,1777025025410000000,0
workspaceModel.cachedValue.clear.count,1777024965382000000,1777025025410000000,0
workspaceModel.collect.changes.ms,1777024965382000000,1777025025410000000,0
workspaceModel.to.snapshot.ms,1777024965382000000,1777025025410000000,0
workspaceModel.replace.project.model.ms,1777024965382000000,1777025025410000000,0
workspaceModel.updates.precise.ms,1777024965382000000,1777025025410000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777024965382000000,1777025025410000000,0
workspaceModel.cachedValue.total.get.count,1777024965382000000,1777025025410000000,3
workspaceModel.loading.from.cache.ms,1777024965382000000,1777025025410000000,84
workspaceModel.check.recursive.update.ms,1777024965382000000,1777025025410000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1777024965382000000,1777025025410000000,0
workspaceModel.cachedValue.calculated.count,1777024965382000000,1777025025410000000,2
workspaceModel.cachedValueWithParameters.from.cache.count,1777024965382000000,1777025025410000000,0
workspaceModel.init.bridges.ms,1777024965382000000,1777025025410000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1777024965382000000,1777025025410000000,0
MappedFileStorage.totalBytesMapped,1777024965382000000,1777025025410000000,164626432
FilePageCache.capacityInBytes,1777024965382000000,1777025025410000000,629145600
StreamlinedBlobStorage.recordsDeleted,1777024965382000000,1777025025410000000,0
MappedFileStorage.storages,1777024965382000000,1777025025410000000,6
FilePageCache.pageLoads,1777024965382000000,1777025025410000000,195
StorageLockContext.competingThreads.avg,1777024965382000000,1777025025410000000,0.0
MappedFileStorage.totalTimeSpentOnMappingUs,1777024965382000000,1777025025410000000,221805
DirectByteBufferAllocator.disposed,1777024965382000000,1777025025410000000,0
DirectByteBufferAllocator.misses,1777024965382000000,1777025025410000000,192
StorageLockContext.competingThreads.max,1777024965382000000,1777025025410000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1777024965382000000,1777025025410000000,2204
DirectByteBufferAllocator.reclaimed,1777024965382000000,1777025025410000000,3
FilePageCache.pageHits,1777024965382000000,1777025025410000000,0
MappedFileStorage.totalPagesMapped,1777024965382000000,1777025025410000000,6
FilePageCache.pageFastCacheHits,1777024965382000000,1777025025410000000,13518
FilePageCache.disposedBuffers,1777024965382000000,1777025025410000000,3
DirectByteBufferAllocator.hits,1777024965382000000,1777025025410000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777024965382000000,1777025025410000000,201326592
FilePageCache.totalPageDisposalsUs,1777024965382000000,1777025025410000000,2482
StreamlinedBlobStorage.recordsRelocated,1777024965382000000,1777025025410000000,0
FilePageCache.totalPageLoadsUs,1777024965382000000,1777025025410000000,259658
StreamlinedBlobStorage.recordsAllocated,1777024965382000000,1777025025410000000,30
FilePageCache.maxRegisteredFiles,1777024965382000000,1777025025410000000,529
FilePageCache.maxCacheSizeInBytes,1777024965382000000,1777025025410000000,201326592
FilePageCache.pageLoadsAboveSizeThreshold,1777024965382000000,1777025025410000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1777024965382000000,1777025025410000000,381
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777024965382000000,1777025025410000000,0
FilePageCache.uncachedFileAccess,1777024965382000000,1777025025410000000,352
StorageLockContext.competingThreads.90P,1777024965382000000,1777025025410000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1777024965382000000,1777025025410000000,102480
writeAction.count,1777024965382000000,1777025025410000000,40
lexer.RegExp.time.ns,1777024965382000000,1777025025410000000,1521889
DiskQueryRelay.taskWaitingTotalTimeUs,1777024965382000000,1777025025410000000,131122
parser.RegExp.time.ns,1777024965382000000,1777025025410000000,6233649
DiskQueryRelay.tasksRequested,1777024965382000000,1777025025410000000,135
writeAction.median.wait.ms,1777024965382000000,1777025025410000000,0
DiskQueryRelay.tasksExecuted,1777024965382000000,1777025025410000000,135
lexer.RegExp.size.bytes,1777024965382000000,1777025025410000000,91
parser.RegExp.size.bytes,1777024965382000000,1777025025410000000,91
writeAction.max.wait.ms,1777024965382000000,1777025025410000000,1
writeAction.wait.ms,1777024965382000000,1777025025410000000,5
Indexes.stubs.lookupDuration90PMs,1777025025410000000,1777025045297000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1777025025410000000,1777025045297000000,0
Indexes.stubs.lookups,1777025025410000000,1777025045297000000,0
Indexes.entries.lookupDuration90PMs,1777025025410000000,1777025045297000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1777025025410000000,1777025045297000000,0
Indexing.cache.totalCacheMisses,1777025025410000000,1777025045297000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1777025025410000000,1777025045297000000,0
Indexing.cache.totalCacheEvicted,1777025025410000000,1777025045297000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1777025025410000000,1777025045297000000,0
Indexes.allKeys.lookupDuration90PMs,1777025025410000000,1777025045297000000,0.0
Indexing.writesQueuedMin,1777025025410000000,1777025045297000000,9223372036854775807
Indexes.allKeys.lookupDurationMaxMs,1777025025410000000,1777025045297000000,0.0
Indexes.stubs.lookupDurationAvgMs,1777025025410000000,1777025045297000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1777025025410000000,1777025045297000000,0.0
Indexing.totalTimeIndexersSleptMs,1777025025410000000,1777025045297000000,0
Indexing.writesQueuedMax,1777025025410000000,1777025045297000000,0
Indexes.entries.lookupDurationAvgMs,1777025025410000000,1777025045297000000,0.0
Indexes.allKeys.lookups,1777025025410000000,1777025045297000000,0
Indexes.stubs.lookupDurationMaxMs,1777025025410000000,1777025045297000000,0.0
Indexes.entries.lookupDurationMaxMs,1777025025410000000,1777025045297000000,0.0
Indexes.entries.lookups,1777025025410000000,1777025045297000000,0
Indexing.cache.totalCacheAccesses,1777025025410000000,1777025045297000000,0
workspaceModel.global.apply.state.to.project.ms,1777025025410000000,1777025045297000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777025025410000000,1777025045297000000,0
jps.global.handle.before.change.events.ms,1777025025410000000,1777025045297000000,0
jps.library.entities.serializer.load.entities.ms,1777025025410000000,1777025045297000000,0
jps.app.storage.content.reader.load.component.ms,1777025025410000000,1777025045297000000,0
jps.save.global.entities.ms,1777025025410000000,1777025045297000000,6
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.instances.count,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777025025410000000,1777025045297000000,0
jps.load.initial.state.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1777025025410000000,1777025045297000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777025025410000000,1777025045297000000,0
workspaceModel.load.cache.from.file.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777025025410000000,1777025045297000000,0
workspaceModel.global.updates.count,1777025025410000000,1777025045297000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777025025410000000,1777025045297000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1777025025410000000,1777025045297000000,0
jps.global.get.libraries.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777025025410000000,1777025045297000000,0
workspaceModel.sync.entities.ms,1777025025410000000,1777025045297000000,0
jps.global.initialize.library.bridges.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.entities.ms,1777025025410000000,1777025045297000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1777025025410000000,1777025045297000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1777025025410000000,1777025045297000000,0
jps.global.get.library.ms,1777025025410000000,1777025045297000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777025025410000000,1777025045297000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777025025410000000,1777025045297000000,0
jps.library.entities.serializer.save.entities.ms,1777025025410000000,1777025045297000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777025025410000000,1777025045297000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777025025410000000,1777025045297000000,0
workspaceModel.save.cache.to.file.ms,1777025025410000000,1777025045297000000,0
jps.global.handle.changed.events.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777025025410000000,1777025045297000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1777025025410000000,1777025045297000000,0
jps.global.get.library.by.name.ms,1777025025410000000,1777025045297000000,0
workspaceModel.do.save.caches.ms,1777025025410000000,1777025045297000000,0
workspaceModel.global.updates.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777025025410000000,1777025045297000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777025025410000000,1777025045297000000,0
jps.app.storage.content.writer.save.component.ms,1777025025410000000,1777025045297000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777025025410000000,1777025045297000000,0
NonBlockingReadAction.failedExecutionTimeUs,1777025025410000000,1777025045297000000,0
NonBlockingReadAction.failedExecutionsCount,1777025025410000000,1777025045297000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1777025025410000000,1777025045297000000,7490
NonBlockingReadAction.finalizedExecutionsCount,1777025025410000000,1777025045297000000,3
AWTEventQueue.dispatchTimeTotalNS,1777025025410000000,1777025045297000000,5554496773
cacheStateStorage.set.duration,1777025025410000000,1777025045297000000,22
cacheStateStorage.get.counter,1777025025410000000,1777025045297000000,1
cacheStateStorage.get.duration,1777025025410000000,1777025045297000000,0
cacheStateStorage.set.counter,1777025025410000000,1777025045297000000,3
workspaceModel.entityStorageSnapshotImpl.instances.count,1777025025410000000,1777025045297000000,0
workspaceModel.on.changed.ms,1777025025410000000,1777025045297000000,0
workspaceModel.pre.handlers.ms,1777025025410000000,1777025045297000000,0
workspaceModel.on.before.changed.ms,1777025025410000000,1777025045297000000,0
workspaceModel.initializing.ms,1777025025410000000,1777025045297000000,0
workspaceModel.updates.count,1777025025410000000,1777025045297000000,0
workspaceModel.loading.total.ms,1777025025410000000,1777025045297000000,0
workspaceModel.cachedValue.from.cache.count,1777025025410000000,1777025045297000000,1
workspaceModel.full.replace.project.model.ms,1777025025410000000,1777025045297000000,0
workspaceModel.cachedValueWithParameters.clear.count,1777025025410000000,1777025045297000000,0
workspaceModel.update.unloaded.entities.ms,1777025025410000000,1777025045297000000,0
workspaceModel.updates.ms,1777025025410000000,1777025045297000000,0
workspaceModel.cachedValue.clear.count,1777025025410000000,1777025045297000000,0
workspaceModel.collect.changes.ms,1777025025410000000,1777025045297000000,0
workspaceModel.to.snapshot.ms,1777025025410000000,1777025045297000000,0
workspaceModel.replace.project.model.ms,1777025025410000000,1777025045297000000,0
workspaceModel.updates.precise.ms,1777025025410000000,1777025045297000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777025025410000000,1777025045297000000,0
workspaceModel.cachedValue.total.get.count,1777025025410000000,1777025045297000000,1
workspaceModel.loading.from.cache.ms,1777025025410000000,1777025045297000000,0
workspaceModel.check.recursive.update.ms,1777025025410000000,1777025045297000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1777025025410000000,1777025045297000000,0
workspaceModel.cachedValue.calculated.count,1777025025410000000,1777025045297000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1777025025410000000,1777025045297000000,0
workspaceModel.init.bridges.ms,1777025025410000000,1777025045297000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1777025025410000000,1777025045297000000,0
FilePageCache.capacityInBytes,1777025025410000000,1777025045297000000,629145600
FilePageCache.pageLoads,1777025025410000000,1777025045297000000,0
StorageLockContext.competingThreads.avg,1777025025410000000,1777025045297000000,0.0
DirectByteBufferAllocator.disposed,1777025025410000000,1777025045297000000,152
DirectByteBufferAllocator.misses,1777025025410000000,1777025045297000000,0
StorageLockContext.competingThreads.max,1777025025410000000,1777025045297000000,0
DirectByteBufferAllocator.reclaimed,1777025025410000000,1777025045297000000,40
FilePageCache.pageHits,1777025025410000000,1777025045297000000,0
FilePageCache.pageFastCacheHits,1777025025410000000,1777025045297000000,0
FilePageCache.disposedBuffers,1777025025410000000,1777025045297000000,192
DirectByteBufferAllocator.hits,1777025025410000000,1777025045297000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777025025410000000,1777025045297000000,41943040
FilePageCache.totalPageDisposalsUs,1777025025410000000,1777025045297000000,0
FilePageCache.totalPageLoadsUs,1777025025410000000,1777025045297000000,0
FilePageCache.maxRegisteredFiles,1777025025410000000,1777025045297000000,529
FilePageCache.maxCacheSizeInBytes,1777025025410000000,1777025045297000000,201326592
FilePageCache.pageLoadsAboveSizeThreshold,1777025025410000000,1777025045297000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777025025410000000,1777025045297000000,41943040
FilePageCache.uncachedFileAccess,1777025025410000000,1777025045297000000,0
StorageLockContext.competingThreads.90P,1777025025410000000,1777025045297000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1777025025410000000,1777025045297000000,3904
writeAction.count,1777025025410000000,1777025045297000000,69
lexer.RegExp.time.ns,1777025025410000000,1777025045297000000,200348
DiskQueryRelay.taskWaitingTotalTimeUs,1777025025410000000,1777025045297000000,22710
parser.RegExp.time.ns,1777025025410000000,1777025045297000000,2220508
DiskQueryRelay.tasksRequested,1777025025410000000,1777025045297000000,59
writeAction.median.wait.ms,1777025025410000000,1777025045297000000,0
DiskQueryRelay.tasksExecuted,1777025025410000000,1777025045297000000,59
lexer.RegExp.size.bytes,1777025025410000000,1777025045297000000,91
parser.RegExp.size.bytes,1777025025410000000,1777025045297000000,91
writeAction.max.wait.ms,1777025025410000000,1777025045297000000,1
writeAction.wait.ms,1777025025410000000,1777025045297000000,3
